fuel_price,temperature,available_bikes,holiday,day_of_week,weather,demand_score,rental_price
101.24,27.5,90,0,5,Sunny,60.87,187.26
118.52,26.7,6,0,1,Sunny,92.41,300.66
111.96,23.5,8,0,3,Sunny,76.59,274.63
107.96,32.1,49,1,0,Cloudy,60.37,217.41
94.68,29.5,17,0,5,Rainy,20.14,146.88
94.68,37.3,59,0,1,Sunny,40.13,167.39
91.74,20.6,36,0,6,Cloudy,39.8,187.74
115.99,32.9,26,0,2,Cloudy,65.34,229.26
108.03,35.3,93,0,5,Cloudy,43.42,159.5
111.24,35.2,95,0,6,Cloudy,55.59,172.31
90.62,37.7,59,0,6,Sunny,48.93,174.25
119.1,34.6,21,0,5,Sunny,100.0,300.59
114.97,38.6,74,0,0,Cloudy,48.02,175.99
96.37,26.7,55,0,4,Sunny,41.28,177.05
95.45,30.1,84,1,0,Rainy,12.51,101.83
95.5,20.3,12,0,4,Rainy,19.05,167.96
99.13,20.1,65,0,2,Rainy,4.17,102.03
105.74,24.8,14,0,3,Sunny,60.29,212.07
102.96,22.0,23,0,3,Sunny,64.14,236.84
98.74,25.2,18,0,6,Sunny,68.2,235.77
108.36,23.5,71,0,5,Rainy,29.48,142.8
94.18,20.6,59,0,3,Sunny,34.47,153.72
98.76,38.2,65,0,1,Sunny,34.96,154.65
100.99,20.2,60,0,4,Sunny,45.56,176.63
103.68,34.7,67,0,0,Sunny,44.44,158.13
113.56,23.0,91,0,1,Sunny,49.06,174.73
95.99,38.2,15,0,1,Sunny,61.37,228.87
105.43,37.9,51,0,0,Sunny,47.8,189.12
107.77,33.1,10,0,2,Rainy,35.43,190.29
91.39,33.4,38,1,6,Cloudy,60.97,226.72
108.23,20.1,69,1,3,Cloudy,56.51,204.87
95.12,39.7,93,0,2,Sunny,23.09,108.29
91.95,37.6,68,0,2,Rainy,0.0,84.36
118.47,37.9,97,0,3,Rainy,33.93,138.26
118.97,33.2,91,0,2,Rainy,24.81,125.65
114.25,26.9,86,0,1,Sunny,54.66,183.6
99.14,37.9,82,0,5,Rainy,23.83,138.15
92.93,25.8,85,0,0,Sunny,19.78,117.34
110.53,31.3,70,0,5,Sunny,76.26,230.18
103.2,22.0,35,1,1,Sunny,77.27,257.06
93.66,38.4,87,0,5,Cloudy,19.5,114.6
104.86,22.8,100,0,1,Cloudy,25.43,119.08
91.03,24.5,66,0,4,Sunny,28.93,137.8
117.28,31.2,58,0,3,Cloudy,58.7,200.72
97.76,35.3,96,1,3,Sunny,48.04,171.71
109.88,32.4,12,0,5,Sunny,83.18,267.51
99.35,24.6,46,0,1,Sunny,41.66,163.06
105.6,20.0,45,0,3,Cloudy,43.36,179.76
106.4,35.1,63,0,4,Sunny,60.51,195.4
95.55,39.7,44,0,5,Sunny,50.58,193.55
119.09,36.2,26,0,0,Rainy,43.42,181.4
113.25,29.2,28,0,2,Rainy,36.63,177.32
118.18,38.1,42,0,6,Sunny,82.36,249.88
116.84,28.2,6,0,3,Cloudy,75.63,253.12
107.94,30.5,45,0,1,Sunny,51.97,198.35
117.66,29.5,23,0,3,Cloudy,64.15,231.97
92.65,29.0,6,0,1,Sunny,41.51,196.32
95.88,35.5,96,0,5,Sunny,31.82,138.82
91.36,30.5,100,0,5,Sunny,38.38,140.77
99.76,26.3,66,0,2,Sunny,42.45,171.61
101.66,25.2,87,0,3,Sunny,41.0,154.97
98.14,20.8,20,0,2,Rainy,20.37,143.67
114.86,31.7,98,0,1,Rainy,17.05,100.28
100.7,24.6,26,0,4,Rainy,18.11,153.91
98.43,23.0,18,0,4,Rainy,22.31,168.77
106.28,33.1,60,1,6,Sunny,94.61,281.01
94.23,33.6,69,0,0,Cloudy,14.35,111.67
114.07,35.0,49,0,1,Sunny,79.0,254.12
92.24,30.1,58,0,1,Rainy,0.0,100.9
119.61,37.9,70,1,1,Rainy,51.1,194.67
113.17,38.7,90,0,5,Sunny,68.12,217.36
95.96,36.1,50,1,5,Sunny,74.77,237.71
90.17,32.7,37,1,4,Sunny,63.97,237.83
114.46,26.1,83,0,4,Sunny,61.86,188.32
111.21,39.7,54,0,6,Rainy,42.67,169.96
111.87,25.5,26,0,6,Rainy,55.18,232.15
113.14,24.1,44,0,4,Sunny,68.24,229.84
92.22,28.8,43,0,3,Sunny,32.05,175.99
100.75,21.1,45,0,3,Sunny,50.06,196.96
93.48,39.6,79,0,4,Rainy,0.0,88.72
115.89,31.8,72,0,2,Rainy,23.03,125.44
108.7,31.1,11,0,3,Cloudy,66.06,246.23
99.93,33.1,89,0,5,Cloudy,37.92,148.96
91.91,29.9,75,0,3,Cloudy,9.76,105.71
99.33,20.6,8,0,3,Sunny,51.78,212.12
99.76,32.2,80,0,3,Rainy,3.31,90.15
111.89,34.3,95,0,6,Cloudy,59.58,184.94
109.13,28.3,63,0,6,Sunny,72.2,224.44
116.62,35.1,85,0,0,Sunny,61.86,193.43
104.17,24.5,88,1,3,Cloudy,45.8,160.98
93.59,24.4,99,0,2,Sunny,21.15,117.9
111.4,23.2,30,0,6,Cloudy,71.45,237.62
112.82,27.4,35,0,0,Rainy,32.76,139.93
106.84,36.9,77,0,5,Cloudy,51.6,166.67
113.13,36.6,73,0,5,Cloudy,59.49,191.8
104.81,27.7,56,1,3,Cloudy,64.18,232.75
105.68,31.8,76,0,1,Sunny,40.68,165.08
102.83,34.4,25,1,0,Sunny,70.25,243.45
90.76,24.8,20,1,6,Sunny,71.22,251.67
93.24,23.4,55,0,5,Rainy,17.77,138.33
90.94,39.4,20,0,3,Rainy,7.11,122.87
109.09,32.4,22,0,2,Sunny,58.12,209.93
99.43,39.6,51,0,4,Rainy,11.83,127.84
105.26,26.8,60,0,5,Cloudy,54.64,202.29
117.23,34.1,32,0,3,Rainy,39.15,174.64
97.48,24.5,86,0,1,Sunny,29.21,138.48
102.31,25.2,82,0,2,Cloudy,22.2,123.63
112.67,30.2,60,0,5,Cloudy,66.87,210.63
96.86,26.4,41,0,0,Sunny,36.66,179.83
92.31,23.4,20,1,2,Sunny,60.71,228.97
98.69,25.3,89,0,3,Sunny,29.6,139.82
94.84,20.7,69,0,6,Sunny,50.4,181.77
117.89,34.1,64,0,5,Sunny,82.84,240.72
114.24,29.8,65,0,5,Cloudy,70.4,214.77
109.0,21.9,15,1,1,Cloudy,73.02,251.05
116.14,23.4,79,0,5,Rainy,39.98,155.46
114.11,22.1,70,0,6,Sunny,77.82,225.97
95.6,32.3,36,0,2,Rainy,13.81,132.59
116.78,21.9,23,0,5,Cloudy,77.57,243.55
106.18,35.1,60,0,2,Sunny,47.07,178.5
114.22,20.4,9,0,4,Cloudy,71.16,251.84
116.88,25.0,7,0,6,Cloudy,96.28,289.42
99.54,37.8,32,0,4,Sunny,51.14,206.98
93.3,34.4,94,0,3,Cloudy,6.2,95.96
96.84,21.5,91,0,0,Cloudy,12.5,92.35
102.81,36.4,98,0,0,Rainy,0.49,80.0
114.54,29.9,76,0,1,Rainy,25.8,122.71
115.82,36.9,33,0,6,Cloudy,77.73,251.79
90.21,32.0,81,0,3,Cloudy,5.62,95.63
105.32,33.6,63,0,0,Rainy,19.59,115.95
102.52,39.9,29,0,5,Rainy,33.34,165.3
96.66,24.6,26,0,2,Rainy,14.83,141.16
93.6,32.5,75,0,3,Cloudy,9.03,104.65
100.13,29.2,27,0,2,Sunny,58.1,225.76
118.29,20.8,74,0,1,Rainy,26.81,127.04
99.7,20.3,83,0,6,Sunny,56.37,184.89
